Date,Campaign,Revenue,Leads,Cost
2024-01-05,Winter Promo,4500.50,120,800.00
2024-01-12,New Year Kickoff,8200.00,250,1500.00
2024-01-20,Email Newsletter,1500.25,45,100.00
2024-02-03,Valentine's Special,6700.00,180,1200.00
2024-02-15,Email Newsletter,1600.00,50,100.00
2024-03-10,Spring Fling,5200.75,140,900.00
2024-03-22,Social Media Blitz,9800.00,310,2000.00
2024-04-05,Email Newsletter,1800.50,60,100.00
2024-04-18,Easter Extravaganza,7500.00,210,1400.00
2024-05-02,May Day Sale,4100.00,110,750.00
2024-05-15,Email Newsletter,1750.00,55,100.00
2024-05-28,Memorial Day Weekend,11200.00,400,2500.00
2024-06-10,Summer Sizzler,8900.00,280,1600.00
2024-06-20,Social Media Blitz,10500.00,350,2100.00
2024-07-04,Independence Day,14000.00,500,3000.00
2024-07-15,Email Newsletter,2100.00,75,100.00
2024-08-12,Back to School,9500.00,290,1700.00
2024-08-25,End of Summer,6200.00,160,1100.00
2024-09-10,Fall Preview,4800.00,130,850.00
2024-09-22,Email Newsletter,1950.00,65,100.00
